Hobby-name,Type,Icon
Horseshoes,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/3639/3639297.png
Iceboat racing,Outdoor Competitive hobby,
Jukskei,Outdoor Competitive hobby,
Kart racing,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/1506/1506345.png
Knife throwing,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/2788/2788740.png
Lacrosse,Outdoor Competitive hobby,
Longboarding,Outdoor Competitive hobby,
Long-distance running,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/3343/3343559.png
Marching band,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/11622/11622321.png
Mini Golf,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/586/586515.png
Model aircraft,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/2306/2306651.png
Orienteering,Outdoor Competitive hobby,
Pickleball,Outdoor Competitive hobby,
Powerboat racing,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/9223/9223702.png
Quidditch,Outdoor Competitive hobby,
Race walking,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/13265/13265970.png
Racquetball,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/8526/8526597.png
Radio-controlled car racing,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/6173/6173474.png
Radio-controlled model playing,Outdoor Competitive hobby,
Roller derby,Outdoor Competitive hobby,https://cdn-icons-png.flaticon.com/128/14108/14108271.png
Audiophile,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/12889/12889532.png
Ant farming,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/6485/6485651.png
Fishkeeping,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/13507/13507820.png
Learning,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/4185/4185714.png
Meditation,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/2906/2906496.png
Microscopy,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/17103/17103439.png
Reading,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/4072/4072217.png
Research,Indoor Observation hobby,https://cdn-icons-png.flaticon.com/128/6012/6012178.png
Shortwave listening,Indoor Observation hobby,
Aircraft spotting,Outdoor Observation hobby,
Amateur astronomy,Outdoor Observation hobby,
Beekeeping,Outdoor Observation hobby,
Benchmarking,Outdoor Observation hobby,https://cdn-icons-png.flaticon.com/128/4923/4923178.png
Birdwatching,Outdoor Observation hobby,
Bus spotting[22,Outdoor Observation hobby,
People-watching,Outdoor Observation hobby,https://cdn-icons-png.flaticon.com/128/5601/5601266.png
Photography,Outdoor Observation hobby,
Satellite watching,Outdoor Observation hobby,
Trainspotting,Outdoor Observation hobby,
Whale watching,Outdoor Observation hobby,https://cdn-icons-png.flaticon.com/128/12690/12690937.png
Butterfly watching,Outdoor Observation hobby,
Geocaching,Outdoor Observation hobby,
Gongoozling,Outdoor Observation hobby,
Herping,Outdoor Observation hobby,
Hiking/backpacking,Outdoor Observation hobby,
Meteorology,Outdoor Observation hobby,
